feature,split,dtype,n_missing,missing_pct,missing_status,n_infinite,n_unique,is_constant,is_near_zero_variance,mean,std,min,max,distribution_shift_z,distribution_shift_flag
regional_demand_share_Mymensingh,validation,float32,0,0.0,ok,0,271,False,False,-0.005532,0.864482,-4.280653,2.488642,0.0055,False
regional_demand_share_Mymensingh,test,float32,0,0.0,ok,0,276,False,False,0.022396,0.79586,-3.483773,2.675946,0.0224,False
regional_demand_share_Sylhet,train,float32,0,0.0,ok,0,1278,False,False,-0.0,1.000387,-3.540713,3.302037,,
regional_demand_share_Sylhet,validation,float32,0,0.0,ok,0,271,False,False,-0.189603,0.896287,-2.778387,2.147259,0.1895,False
regional_demand_share_Sylhet,test,float32,0,0.0,ok,0,276,False,False,0.02523,1.165182,-3.663867,3.249389,0.0252,False
regional_demand_share_Barishal,train,float32,0,0.0,ok,0,1275,False,False,0.0,1.000386,-3.054009,4.098004,,
regional_demand_share_Barishal,validation,float32,0,0.0,ok,0,272,False,False,0.414075,1.024647,-2.147598,5.567208,0.4139,False
regional_demand_share_Barishal,test,float32,0,0.0,ok,0,276,False,False,0.805807,1.392967,-6.813587,5.696934,0.8055,False
regional_demand_share_Rangpur,train,float32,0,0.0,ok,0,1280,False,False,0.0,1.000387,-3.092032,1.924008,,
regional_demand_share_Rangpur,validation,float32,0,0.0,ok,0,272,False,False,0.396944,0.485343,-1.333398,1.585643,0.3968,False
regional_demand_share_Rangpur,test,float32,0,0.0,ok,0,276,False,False,0.264832,0.522998,-1.238182,1.929386,0.2647,False
regional_demand_share_Cumilla,train,float32,0,0.0,ok,0,1283,False,False,0.0,1.000387,-3.282646,4.533483,,
regional_demand_share_Cumilla,validation,float32,0,0.0,ok,0,272,False,False,-0.246747,0.946791,-2.976609,4.104547,0.2467,False
regional_demand_share_Cumilla,test,float32,0,0.0,ok,0,276,False,False,0.096743,0.884855,-3.415166,3.300534,0.0967,False
regional_demand_share_Khulna,train,float32,0,0.0,ok,0,1282,False,False,0.0,1.000386,-5.557078,4.432865,,
regional_demand_share_Khulna,validation,float32,0,0.0,ok,0,271,False,False,-0.48467,0.804496,-2.449484,2.475129,0.4845,False
regional_demand_share_Khulna,test,float32,0,0.0,ok,0,276,False,False,-0.230924,0.981686,-2.542072,4.817624,0.2308,False
regional_load_intensity_Dhaka,train,float32,0,0.0,ok,0,150,False,False,0.0,1.000387,-0.223353,21.201845,,
regional_load_intensity_Dhaka,validation,float32,0,0.0,ok,0,61,False,False,-0.148325,0.19092,-0.223353,1.191388,0.1483,False
regional_load_intensity_Dhaka,test,float32,0,0.0,ok,0,142,False,False,0.364009,0.860357,-0.223353,4.86955,0.3639,False
regional_load_intensity_Chattogram,train,float32,0,0.0,ok,0,51,False,False,0.0,1.000387,-0.160481,17.010418,,
regional_load_intensity_Chattogram,validation,float32,0,0.0,ok,0,7,False,False,-0.098977,0.500817,-0.160481,6.265167,0.0989,False
regional_load_intensity_Chattogram,test,float32,0,0.0,ok,0,33,False,False,0.249098,1.29366,-0.160481,7.727655,0.249,False
regional_load_intensity_Rajshahi,train,float32,0,0.0,ok,0,106,False,False,-0.0,1.000385,-0.262781,8.0412,,
regional_load_intensity_Rajshahi,validation,float32,0,0.0,ok,0,30,False,False,-0.110935,0.565266,-0.262781,4.719429,0.1109,False
regional_load_intensity_Rajshahi,test,float32,0,0.0,ok,0,42,False,False,0.190336,1.213221,-0.262781,6.683639,0.1903,False
regional_load_intensity_Mymensingh,train,float32,0,0.0,ok,0,227,False,False,0.0,1.000387,-0.385168,9.992116,,
regional_load_intensity_Mymensingh,validation,float32,0,0.0,ok,0,132,False,False,0.244844,0.841305,-0.385168,3.684571,0.2447,False
regional_load_intensity_Mymensingh,test,float32,0,0.0,ok,0,157,False,False,0.747463,1.207528,-0.385168,3.76246,0.7472,False
regional_load_intensity_Sylhet,train,float32,0,0.0,ok,0,103,False,False,-0.0,1.000385,-0.237826,14.7974,,
regional_load_intensity_Sylhet,validation,float32,0,0.0,ok,0,60,False,False,0.17749,1.002392,-0.237826,5.682619,0.1774,False
regional_load_intensity_Sylhet,test,float32,0,0.0,ok,0,58,False,False,0.233577,1.151855,-0.237826,4.72162,0.2335,False
regional_load_intensity_Barishal,train,float32,0,0.0,ok,0,13,False,False,-0.0,1.000386,-0.089764,19.231318,,
regional_load_intensity_Barishal,validation,float32,0,0.0,ok,0,4,False,False,-0.008473,0.784984,-0.089764,8.801377,0.0085,False
regional_load_intensity_Barishal,test,float32,0,0.0,ok,0,14,False,False,0.301706,1.996114,-0.089764,16.588236,0.3016,False
regional_load_intensity_Rangpur,train,float32,0,0.0,ok,0,117,False,False,0.0,1.000386,-0.270983,7.961394,,
regional_load_intensity_Rangpur,validation,float32,0,0.0,ok,0,52,False,False,0.187296,1.110162,-0.270983,5.347405,0.1872,False
regional_load_intensity_Rangpur,test,float32,0,0.0,ok,0,109,False,False,0.683442,1.390438,-0.270983,5.809361,0.6832,False
regional_load_intensity_Cumilla,train,float32,0,0.0,ok,0,139,False,False,-0.0,1.000386,-0.274786,9.992801,,
regional_load_intensity_Cumilla,validation,float32,0,0.0,ok,0,73,False,False,0.047155,0.747335,-0.274786,3.495152,0.0471,False
regional_load_intensity_Cumilla,test,float32,0,0.0,ok,0,107,False,False,0.386099,1.205724,-0.274786,5.255716,0.3859,False
regional_load_intensity_Khulna,train,float32,0,0.0,ok,0,97,False,False,0.0,1.000385,-0.244341,7.672886,,
regional_load_intensity_Khulna,validation,float32,0,0.0,ok,0,20,False,False,-0.100121,0.654656,-0.244341,4.865005,0.1001,False
regional_load_intensity_Khulna,test,float32,0,0.0,ok,0,46,False,False,0.073301,1.056682,-0.244341,6.351518,0.0733,False
